ID товара	Название товара	Символьный код	Изображение товара	Раздел уровня 1	Раздел уровня 2	Раздел уровня 3	Раздел уровня 4	Раздел уровня 5	Цена МРЦ	Валюта цены МРЦ	Описание	Формат описания	Видео	Новинка	Доп. фото	Показать блок застраховано?	Артикул	Тип управления компрессором 	Максимальный расход воздуха	Макс. ток вентилятора	Гарантия	Исполнение	Мощность	Статическое давление вентилятора 	Холодопроизводительность	Холодопроизводительность	Теплопроизводительность	Потребляемая мощность (охлаждение)	Потребляемая мощность (обогрев)	Потребляемая мощность (макс.)	Номинальный ток	EER (коэффициент / класс)	SEER / Класс (коэффициент / класс)	COP (коэффициент / класс)	SCOP / Класс (коэффициент / класс)	Сезонная энергоэффективность, Вт/Вт (Охлаждение)	Сезонная энергоэффективность, Вт/Вт (Обогрев)	Класс энергоэффективности (режим охлаждения)	Пульт управления в комплекте	Класс энергоэффективности (режим обогрева)	Wi-fi	Зимний комплект	Рабочий ток (Охлаждение)	Рабочий ток (Обогрев)	Электропитание	Звуковое давление	Максимальное рабочее давление, Мпа	Максимальная длина фреонопровода	Сторона подключения	Максимальный перепад высот	Диаметр жидкостной трубы	Диаметр газовой трубы	Внешнее статическое давление	Вес декоративной панели	Варианты монтажа	Установка	Степень защиты	Параметры питающей сети	Максимальный ток при номинальном напряжении	Гидравлическое сопротивление испарителя, кПа	Количество вентиляторов	Расход воздуха	Тип компрессора	Количество компрессоров	Бренд компрессора	Класс электрозащиты	Цвет корпуса	SCOP (коэффициент/класс)	SEER (коэффициент/класс)	HP	Комплектация	Производительность подключаемого испарителя	Максимальный потребляемый ток	Максимальный перепад высот между наружным и внутренним блоками, когда внутренний блок ВЫШЕ наружного	Уровень звукового давления (высокая / средняя / низкая скорость)	Диаметр входной-выходной трубы	ДЕКОРАТИВНАЯ ПАНЕЛЬ	Максимальный перепад высот между ККБ и испарителем (ККБ ниже-выше)	Падение давления воды в теплообменнике	Максимальная длина между наружным и внутренним блоками	Расход воды	Максимальная суммарная длина фреонопровода	Максимальный перепад высот между наружным и внутренним блоками, когда внутренний блок НИЖЕ наружного	Максимальный перепад высот между внутренними блоками	Димаетр газовой трубы мм. (дюйм)	Диаметр маслоуравнивающей трубы	Площадь помещения	Диаметр жидкостной трубы мм. (дюйм)	Назначение	Количество контуров 	Максимальное количество подключаемых внутренних блоков	Уровень звукового давления	Хладагент	Диаметр подключения, мм	Объем холодильной камеры, м3	Минимальный KVS клапана	Осушение	Диаметр дренажной трубы: мм (дюйм)	Гарантированный диапазон рабочих температур наружного воздуха в режиме охлаждения	Гарантированный диапазон рабочих температур наружного воздуха в режиме обогрева	Заводская заправка хладагента	Заводская заправка хладагента R410a (до 5 м)	Дополнительная заправка хладагента	Модель внутреннего блока	Расход воздуха внутреннего блока	Уровень звукового давления внутреннего блока	Размеры внутреннего блока без упаковки (В х Ш х Г)	Размеры внутреннего блока в упаковке (В х Ш х Г)	Вес внутреннего блока без упаковки	Вес внутреннего блока в упаковке	Модель наружного блока	Расход воздуха наружного блока	Уровень звукового давления наружного блока	Размеры наружного блока в упаковке (В х Ш х Г)	Размеры наружного блока без упаковки (В х Ш х Г)	Вес наружного блока без упаковки	Вес наружного блока в упаковке	Размеры декоративной панели в упаковке (В х Ш х Г)	Размеры декоративной панели без упаковки (В х Ш х Г)	Вес декоративной панели в упаковке
422	Настенные внутренние блоки Smart Multi Energolux SAS09M3-AI	sas09m1-ai	https://severcon.ru//upload/iblock/21f/46rofiyh3tq7kom815m8w67ftexiz8o9/Vnutrenniy-blok_Energolux_SAS09G3_Al_002.png	Системы кондиционирования	Мульти сплит-системы	Smart Multi	Настенные блоки		24500.00	RUB	"<ul>	<li>	<li>Большой выбор подключаемых внутренних блоков</li>	<li>Возможность подключения от 2 до 5 внутренних блоков</li>	<li>Панель White Mirror (Белое зеркало)&nbsp,</li>	<li>Встроенный дренажный насос (высота подъема 1200 мм)</li>	<li>Антикоррозийное покрытие «Blue Fin»</li>	<li>Самоочистка внутреннего блока (Self-cleaning)</li>	<li>Защита от утечки хладагента&nbsp,</li>	<li>Датчик температуры в пульте ДУ (I FEEL)</li>	<li>Антизамерзание: поддержание температуры +8°C</li>	<li>Беспроводной пульт ДУ в комплекте</li>	<li>WiFi подготовка (WiFi ready)</li>	<li>R410a</li>	<li>A+/A++</li>	<li>Гарантия 36 месяцев&nbsp,</li>	<li>Диапазон рабочих температур -10?+52 охлаждение</li>	<li>Диапазон рабочих температур -15?+24 обогрев</li> </li></ul>"	HTML		N	https://severcon.ru/	Y	SAS09M3-AI	Инверторный			36				2,64		2,93	0,04																	1 фаза, 230 В, 50 Гц						6,35 (1/4)	9,52 (3/8)																																					Для серверных | Для дома | Для бизнеса				R410a					16,9								40/38/34	292x788x198	370x880x290	8	10										
423	Настенные внутренние блоки Smart Multi Energolux SAS12M3-AI	sas12m1-ai	https://severcon.ru//upload/iblock/76a/0la5c0y0unxgdcxqe9308kpmlvs6mmm0/Vnutrenniy-blok_Energolux_SAS09G3_Al_002.png	Системы кондиционирования	Мульти сплит-системы	Smart Multi	Настенные блоки		25400.00	RUB	"<ul>	<li>	<li>Большой выбор подключаемых внутренних блоков</li>	<li>Возможность подключения от 2 до 5 внутренних блоков</li>	<li>Панель White Mirror (Белое зеркало)&nbsp,</li>	<li>Встроенный дренажный насос (высота подъема 1200 мм)</li>	<li>Антикоррозийное покрытие «Blue Fin»</li>	<li>Самоочистка внутреннего блока (Self-cleaning)</li>	<li>Защита от утечки хладагента&nbsp,</li>	<li>Датчик температуры в пульте ДУ (I FEEL)</li>	<li>Антизамерзание: поддержание температуры +8°C</li>	<li>Беспроводной пульт ДУ в комплекте</li>	<li>WiFi подготовка (WiFi ready)</li>	<li>R410a</li>	<li>A+/A++</li>	<li>Гарантия 36 месяцев&nbsp,</li>	<li>Диапазон рабочих температур -10?+52 охлаждение</li>	<li>Диапазон рабочих температур -15?+24 обогрев</li> </li></ul>"	HTML		N	https://severcon.ru/	Y	SAS12M2-AI	Инверторный			36				3,52		3,81	0,04																	1 фаза, 230 В, 50 Гц						6,35 (1/4)	9,52 (3/8)																																					Для серверных | Для дома | Для бизнеса				R410a					16,9								41/39/35	292x788x198	370x880x290	8	10										
424	Настенные внутренние блоки Smart Multi Energolux SAS18M2-AI	sas18m1-ai	https://severcon.ru//upload/iblock/d62/lausanne-04.png	Системы кондиционирования	Мульти сплит-системы	Smart Multi	Настенные блоки		25100.00	RUB	"<ul>	<li>	<li>Большой выбор подключаемых внутренних блоков</li>	<li>Возможность подключения от 2 до 5 внутренних блоков</li>	<li>Панель White Mirror (Белое зеркало)&nbsp,</li>	<li>Встроенный дренажный насос (высота подъема 1200 мм)</li>	<li>Антикоррозийное покрытие «Blue Fin»</li>	<li>Самоочистка внутреннего блока (Self-cleaning)</li>	<li>Защита от утечки хладагента&nbsp,</li>	<li>Датчик температуры в пульте ДУ (I FEEL)</li>	<li>Антизамерзание: поддержание температуры +8°C</li>	<li>Беспроводной пульт ДУ в комплекте</li>	<li>WiFi подготовка (WiFi ready)</li>	<li>R410a</li>	<li>A+/A++</li>	<li>Гарантия 36 месяцев&nbsp,</li>	<li>Диапазон рабочих температур -10?+52 охлаждение</li>	<li>Диапазон рабочих температур -15?+24 обогрев</li> </li></ul>"	HTML		N	https://severcon.ru/	Y	SAS18M2-AI	Инверторный			36				5,2		5	0,063																	1 фаза, 230 В, 50 Гц						6,35 (1/4)	12,7 (1/2)																																					Для серверных | Для дома | Для бизнеса				R410a					16,5							1000	38/35/32/29	315х970х235	370х1010х290	13	16										
425	Кассетные внутренние блоки Smart Multi Energolux SAC09M1-AI	sac09m1-ai	https://severcon.ru//upload/iblock/abc/casseta-04.png	Системы кондиционирования	Мульти сплит-системы	Smart Multi	Кассетные блоки		45700.00	RUB	"<ul>	<li>	<li>Компактные размеры&nbsp,</li>	<li>Встроенный дренажный насос (подъем 1200 мм)</li>	<li>Возможность подключения воздуховода подачи свежего воздуха</li>	<li>Информативный LED дисплей</li>	<li>Воздушный фильтр в комплекте</li>	<li>Таймер</li>	<li>Беспроводной пульт ДУ в комплекте</li>	<li>WiFi подготовка (WiFi ready)</li>	<li>R410a</li>	<li>A+/A++</li>	<li>Гарантия 36 месяцев&nbsp,</li>	<li>Диапазон рабочих температур -10?+52 охлаждение</li>	<li>Диапазон рабочих температур -15?+24 обогрев</li> </li></ul>"	HTML		N	https://severcon.ru/	Y	SAC09M1-AI	Инверторный			36				2,8		3	0,07																	1 фаза, 230 В, 50 Гц						6,35 (1/4)	12,7 (1/2)																							45/41/35		SCP13A1												Для серверных | Для дома | Для бизнеса				R410a					20									260х570х570	295х655х655	18	21								80х710х710	55х650х650	5
427	Кассетные внутренние блоки Smart Multi Energolux SAC18M1-AI	sac18m1-ai	https://severcon.ru//upload/iblock/6e1/casseta-04.png	Системы кондиционирования	Мульти сплит-системы	Smart Multi	Кассетные блоки		50700.00	RUB	"<ul>	<li>	<li>Компактные размеры&nbsp,</li>	<li>Встроенный дренажный насос (подъем 1200 мм)</li>	<li>Возможность подключения воздуховода подачи свежего воздуха</li>	<li>Информативный LED дисплей</li>	<li>Воздушный фильтр в комплекте</li>	<li>Таймер</li>	<li>Беспроводной пульт ДУ в комплекте</li>	<li>WiFi подготовка (WiFi ready)</li>	<li>R410a</li>	<li>A+/A++</li>	<li>Гарантия 36 месяцев&nbsp,</li>	<li>Диапазон рабочих температур -10?+52 охлаждение</li>	<li>Диапазон рабочих температур -15?+24 обогрев</li> </li></ul>"	HTML		N	https://severcon.ru/	Y	SAC18M1-AI	Инверторный			36				5		5,6	0,07																	1 фаза, 230 В, 50 Гц						6,35 (1/4)	12,7 (1/2)																							45/41/35		SCP13A1												Для серверных | Для дома | Для бизнеса				R410a					20									260х570х570	295х655х655	18	21								80х710х710	55х650х650	5
428	Канальные внутренние блоки Smart Multi Energolux SAD07M1-AI	sad07m1-ai	https://severcon.ru//upload/iblock/de0/kanalnik_04.png	Системы кондиционирования	Мульти сплит-системы	Smart Multi	Канальные блоки		44400.00	RUB	"<ul>	<li>	<li>Компактные размеры (толщина 185 мм)</li>	<li>Воздушные фильтры в комплекте</li>	<li>Ночной режим</li>	<li>Таймер</li>	<li>Проводной пульт ДУ в комплекте</li>	<li>WiFi подготовка (WiFi ready)</li>	<li>R410a</li>	<li>A+</li>	<li>A++</li>	<li>Гарантия 36 месяцев&nbsp,</li>	<li>Диапазон рабочих температур -10?+52 охлаждение</li>	<li>Диапазон рабочих температур -15?+24 обогрев</li> </li></ul>"	HTML		N	https://severcon.ru/	Y	SAD07M1-AI	Инверторный			36				2,2		2,5	0,045																	1 фаза, 230 В, 50 Гц						6,35 (1/4)	9,52 (3/8)																							30/26/23														Для серверных | Для дома | Для бизнеса				R410a					16,9									185х840х460	250х1030х545	16,5	20										
430	Канальные внутренние блоки Smart Multi Energolux SAD12M1-AI	sad12m1-ai	https://severcon.ru//upload/iblock/c77/kanalnik_04.png	Системы кондиционирования	Мульти сплит-системы	Smart Multi	Канальные блоки		47600.00	RUB	"<ul>	<li>	<li>Компактные размеры (толщина 185 мм)</li>	<li>Воздушные фильтры в комплекте</li>	<li>Ночной режим</li>	<li>Таймер</li>	<li>Проводной пульт ДУ в комплекте</li>	<li>WiFi подготовка (WiFi ready)</li>	<li>R410a</li>	<li>A+</li>	<li>A++</li>	<li>Гарантия 36 месяцев&nbsp,</li>	<li>Диапазон рабочих температур -10?+52 охлаждение</li>	<li>Диапазон рабочих температур -15?+24 обогрев</li> </li></ul>"	HTML		N	https://severcon.ru/	Y	SAD12M1-AI	Инверторный			36				3,6		4	0,055																	1 фаза, 230 В, 50 Гц						6,35 (1/4)	12,7 (1/2)																							38/34/31														Для серверных | Для дома | Для бизнеса				R410a					16,9									200х700?470	275х1005?580	18,5	22										
431	Канальные внутренние блоки Smart Multi Energolux SAD18M1-AI	sad18m1-ai	https://severcon.ru//upload/iblock/38a/kanalnik_04.png	Системы кондиционирования	Мульти сплит-системы	Smart Multi	Канальные блоки		55400.00	RUB	"<ul>	<li>	<li>Компактные размеры (толщина 185 мм)</li>	<li>Воздушные фильтры в комплекте</li>	<li>Ночной режим</li>	<li>Таймер</li>	<li>Проводной пульт ДУ в комплекте</li>	<li>WiFi подготовка (WiFi ready)</li>	<li>R410a</li>	<li>A+</li>	<li>A++</li>	<li>Гарантия 36 месяцев&nbsp,</li>	<li>Диапазон рабочих температур -10?+52 охлаждение</li>	<li>Диапазон рабочих температур -15?+24 обогрев</li> </li></ul>"	HTML		N	https://severcon.ru/	Y	SAD18M1-AI	Инверторный			36				5,1		5,8	0,075																	1 фаза, 230 В, 50 Гц				Внешний блок		6,35 (1/4)	12,7 (1/2)																							39/35/33														Для серверных | Для дома | Для бизнеса				R410a					16,9									200х1000?470	275х1305?580	24	28										
433	Напольно-потолочные блоки Smart Multi Energolux SACF12M1-AI	sacf12m1-ai	https://severcon.ru//upload/iblock/316/pol_potolok04.png	Системы кондиционирования	Мульти сплит-системы	Smart Multi	Напольно-потолочные блоки		55500.00	RUB	"<ul>	<li>	<li>Компактные размеры (толщина 205 мм)</li>	<li>Горизонтальная и вертикальная установка</li>	<li>Информативный&nbsp, дисплей</li>	<li>Простота монтажа и обслуживания</li>	<li>Беспроводной пульт ДУ в комплекте</li>	<li>WiFi подготовка (WiFi ready)</li>	<li>R410a</li>	<li>A+</li>	<li>A++</li>	<li>Гарантия 36 месяцев&nbsp,</li>	<li>Диапазон рабочих температур -10?+52 охлаждение</li>	<li>Диапазон рабочих температур -15?+24 обогрев</li> </li></ul>"	HTML		N	https://severcon.ru/	Y	SACF12M1-AI	Инверторный			36				3,6		3,9	0,08																	1 фаза, 230 В, 50 Гц						6,35 (1/4)	12,7 (1/2)																							39/36/30														Для серверных | Для дома | Для бизнеса				R410a					20									205х929х660	290х1010х720	24	27										
434	Напольно-потолочные блоки Smart Multi Energolux SACF18M1-AI	sacf18m1-ai	https://severcon.ru//upload/iblock/8a5/pol_potolok04.png	Системы кондиционирования	Мульти сплит-системы	Smart Multi	Напольно-потолочные блоки		59200.00	RUB	"<ul>	<li>	<li>Компактные размеры (толщина 205 мм)</li>	<li>Горизонтальная и вертикальная установка</li>	<li>Информативный&nbsp, дисплей</li>	<li>Простота монтажа и обслуживания</li>	<li>Беспроводной пульт ДУ в комплекте</li>	<li>WiFi подготовка (WiFi ready)</li>	<li>R410a</li>	<li>A+</li>	<li>A++</li>	<li>Гарантия 36 месяцев&nbsp,</li>	<li>Диапазон рабочих температур -10?+52 охлаждение</li>	<li>Диапазон рабочих температур -15?+24 обогрев</li> </li></ul>"	HTML		N	https://severcon.ru/	Y	SACF18M1-AI	Инверторный			36				5,3		5,8	0,08																	1 фаза, 230 В, 50 Гц						6,35 (1/4)	12,7 (1/2)																							43/39/36														Для серверных | Для дома | Для бизнеса				R410a					20									205х929х660	290х1010х720	25	28										
